,precision,recall,f1-score,support
А-A,1.0,0.96,0.9795918367346939,25.0
Б-B,0.9655172413793104,1.0,0.9824561403508771,28.0
В-V,1.0,1.0,1.0,29.0
Г-G,1.0,1.0,1.0,35.0
Д-D,1.0,1.0,1.0,18.0
Е-YE,1.0,1.0,1.0,27.0
Ё-YO,1.0,1.0,1.0,33.0
Ж-J,1.0,1.0,1.0,26.0
З-Z,1.0,1.0,1.0,27.0
И-I,1.0,1.0,1.0,12.0
Й-hI,1.0,1.0,1.0,25.0
К-K,1.0,1.0,1.0,27.0
Л-L,0.9714285714285714,1.0,0.9855072463768116,34.0
М-M,1.0,1.0,1.0,45.0
Н-N,1.0,1.0,1.0,30.0
О-O,1.0,1.0,1.0,38.0
Ө-OU,0.9354838709677419,1.0,0.9666666666666667,29.0
П-P,1.0,0.9310344827586207,0.9642857142857143,29.0
Р-R,1.0,1.0,1.0,34.0
С-S,1.0,1.0,1.0,21.0
Т-T,1.0,1.0,1.0,22.0
У-U,1.0,1.0,1.0,21.0
Ү-Y,1.0,1.0,1.0,15.0
Х-H,1.0,0.9696969696969697,0.9846153846153847,33.0
Ф-F,1.0,1.0,1.0,37.0
Ц-TS,1.0,1.0,1.0,29.0
Ч-CH,0.9736842105263158,1.0,0.9866666666666667,37.0
Ш-SH,1.0,1.0,1.0,28.0
Щ-SHCH,1.0,0.9583333333333334,0.9787234042553191,24.0
Ъ-Htemdeg,0.9565217391304348,1.0,0.9777777777777777,22.0
Ы-ERII,1.0,0.9736842105263158,0.9866666666666667,38.0
Ь-Ztemdeg,1.0,1.0,1.0,36.0
Э-E,1.0,1.0,1.0,25.0
Ю-YU,1.0,1.0,1.0,30.0
Я-YA,1.0,1.0,1.0,26.0
accuracy,0.9939698492462311,0.9939698492462311,0.9939698492462311,0.9939698492462311
macro avg,0.9943610180980679,0.994078542751864,0.9940845001256164,995.0
weighted avg,0.9942330457242209,0.9939698492462311,0.9939660439981598,995.0
